,Event_ID,Match_ID,Team_ID,Team_Name,Formation,Location_X,Location_Y,Outcome,For_or_Against
92,fd7dabf6-99e0-4386-a4d9-4b7e12e9069c,16317,217,Barcelona,433,91.6,53.3,Off T,Against
93,d32db687-c25f-4c79-bea2-b61645466414,16317,217,Barcelona,433,113.7,45.5,Off T,Against
94,5c5df302-29d2-43f3-bd74-012aaf9e1ba7,16317,217,Barcelona,433,113.0,38.7,Off T,Against
95,d5a7fe87-e3a4-4bcc-a108-b9e98bbb8758,16317,217,Barcelona,433,107.3,32.1,Off T,For
96,a416f855-d8ab-437b-8e3a-1141564ed44f,16317,217,Barcelona,433,116.7,29.6,Off T,For
97,6693b0ee-be30-4a92-9392-4afda74b7ee8,16317,217,Barcelona,433,101.0,52.4,Off T,Against
98,c61c4758-0c9d-4890-85d6-1f2d6604383c,265835,217,Barcelona,433,104.2,22.0,Blocked,For
99,945dcf94-7a58-43c1-8946-c8de596c4ab2,265835,217,Barcelona,433,102.2,33.4,Saved,For
100,4a69e35b-14c0-4a4c-bf60-dc7f38965886,265835,217,Barcelona,433,100.9,38.9,Blocked,For
101,ab810a26-003b-4b80-bbf6-acf415d8f9f0,265835,217,Barcelona,433,96.0,36.2,Goal,For
102,9f7fcee0-d0f5-4d35-9d03-d10c75664b9f,265835,217,Barcelona,433,108.6,36.3,Saved,For
103,93986bb7-1fc7-43f1-9dfc-61a1ee0e4609,265835,217,Barcelona,433,109.5,42.7,Goal,For
104,b43bd8d6-bbaa-42e5-b2bd-c35a0e559f5a,265835,217,Barcelona,433,95.4,49.8,Blocked,For
105,dd74f6da-c7b6-4fc8-a363-14d54706b471,265835,217,Barcelona,433,98.4,22.1,Off T,For
106,dbbdd81c-6159-424a-8620-549fadcb9c45,265835,217,Barcelona,433,104.7,29.8,Blocked,Against
107,1e3aa95c-3fd7-4ffc-8137-a30597b6585c,265835,217,Barcelona,433,96.7,33.6,Off T,Against
108,b9da55d3-54c8-45b2-995b-4a3c80ef09d0,265835,217,Barcelona,433,114.5,36.3,Goal,For
109,a4a60f4e-463a-4cf7-8b37-f91f807750ef,265835,217,Barcelona,433,106.7,29.9,Off T,For
110,b49dcb08-0ac5-45a4-adcf-2267a60f521f,265835,217,Barcelona,433,117.3,43.0,Goal,For
111,134c947a-a0a2-444d-8025-fe55a58e47e9,265835,217,Barcelona,433,102.8,36.3,Goal,For
112,4680a041-b6ab-4ec9-80f7-a7ddd93bd31c,265835,217,Barcelona,433,99.1,19.7,Off T,For
113,e186bb40-99c4-4190-b27f-42a67d171c0d,265835,217,Barcelona,433,104.7,27.2,Saved,For
114,daa49e87-3581-43a7-b5df-ed3aea658cd9,265835,217,Barcelona,433,106.0,30.1,Saved,For
115,c61c4758-0c9d-4890-85d6-1f2d6604383c,265835,213,Sevilla,4231,104.2,22.0,Blocked,Against
116,945dcf94-7a58-43c1-8946-c8de596c4ab2,265835,213,Sevilla,4231,102.2,33.4,Saved,Against
117,4a69e35b-14c0-4a4c-bf60-dc7f38965886,265835,213,Sevilla,4231,100.9,38.9,Blocked,Against
118,ab810a26-003b-4b80-bbf6-acf415d8f9f0,265835,213,Sevilla,4231,96.0,36.2,Goal,Against
119,9f7fcee0-d0f5-4d35-9d03-d10c75664b9f,265835,213,Sevilla,4231,108.6,36.3,Saved,Against
120,93986bb7-1fc7-43f1-9dfc-61a1ee0e4609,265835,213,Sevilla,4231,109.5,42.7,Goal,Against
121,b43bd8d6-bbaa-42e5-b2bd-c35a0e559f5a,265835,213,Sevilla,4231,95.4,49.8,Blocked,Against
122,dd74f6da-c7b6-4fc8-a363-14d54706b471,265835,213,Sevilla,4231,98.4,22.1,Off T,Against
123,dbbdd81c-6159-424a-8620-549fadcb9c45,265835,213,Sevilla,4231,104.7,29.8,Blocked,For
124,1e3aa95c-3fd7-4ffc-8137-a30597b6585c,265835,213,Sevilla,4231,96.7,33.6,Off T,For
125,b9da55d3-54c8-45b2-995b-4a3c80ef09d0,265835,213,Sevilla,4231,114.5,36.3,Goal,Against
126,a4a60f4e-463a-4cf7-8b37-f91f807750ef,265835,213,Sevilla,4231,106.7,29.9,Off T,Against
127,b49dcb08-0ac5-45a4-adcf-2267a60f521f,265835,213,Sevilla,4231,117.3,43.0,Goal,Against
128,134c947a-a0a2-444d-8025-fe55a58e47e9,265835,213,Sevilla,4231,102.8,36.3,Goal,Against
129,4680a041-b6ab-4ec9-80f7-a7ddd93bd31c,265835,213,Sevilla,4231,99.1,19.7,Off T,Against
130,e186bb40-99c4-4190-b27f-42a67d171c0d,265835,213,Sevilla,4231,104.7,27.2,Saved,Against
131,daa49e87-3581-43a7-b5df-ed3aea658cd9,265835,213,Sevilla,4231,106.0,30.1,Saved,Against
132,39c8ac81-ae9b-4aa1-be08-48f15176a337,15973,217,Barcelona,41221,113.6,35.2,Blocked,Against
133,9ab795df-df68-43af-9cc6-1ff29431ff6d,15973,217,Barcelona,41221,116.9,37.3,Goal,Against
134,78728f2e-3c15-49ba-97a2-c7f300dd6cb8,15973,217,Barcelona,41221,110.8,51.3,Goal,For
135,453a50bc-c420-4c36-9832-ccc4566496ec,15973,217,Barcelona,41221,89.3,48.2,Saved,For
136,e322758a-db43-4574-ab5f-68b218e1cd93,15973,217,Barcelona,41221,103.3,58.3,Saved,Against
137,26fcafe1-83db-4ab4-a9b4-65e9ce1c12da,15973,217,Barcelona,41221,111.9,35.5,Saved,For
138,7eb73963-892b-4837-b864-9518bb04c204,15973,217,Barcelona,41221,94.7,35.6,Blocked,For
139,0577b91e-df20-4ffc-ac06-8ebdf2a9d629,15973,217,Barcelona,41221,96.3,39.6,Blocked,For
140,ea644b0a-0dfe-45ac-b5ea-48a5b2089419,15973,217,Barcelona,41221,117.1,51.5,Saved,For
141,514d5430-182c-4973-bbd7-feb26f3670ee,15973,217,Barcelona,41221,103.9,51.7,Post,For
142,78a8e7c3-b4fa-47cd-990e-8164a336fa43,15973,217,Barcelona,41221,101.9,36.6,Saved,Against
143,6e34bf0d-5e25-4219-bb87-b1bd6b910f96,15973,217,Barcelona,41221,89.1,46.9,Off T,For
144,c7140cad-46e6-4603-9000-6edb7e5b9281,15973,217,Barcelona,41221,112.0,54.9,Wayward,For
145,4b9bf5d3-b243-4914-91a0-ce30beec6d4a,15973,217,Barcelona,41221,118.5,34.7,Blocked,For
146,3ef85249-69e5-44cf-9057-0a65c64368a9,15973,217,Barcelona,41221,116.9,32.5,Saved,For
147,e6e5178c-3321-4afa-bccd-cda6810f1a38,15973,217,Barcelona,41221,114.3,35.3,Goal,For
148,4c670adc-4d4b-4f86-aac6-18fab7812c72,15973,217,Barcelona,41221,115.9,42.8,Goal,Against
149,a5e659f5-d679-48ab-bee3-894263e33931,15973,217,Barcelona,41221,112.9,28.4,Saved,For
150,7baff883-a651-4a93-9ef6-d648c828a3dd,15973,217,Barcelona,41221,94.2,43.4,Off T,For
151,a382872b-756a-46d1-bd53-706d79b70425,15973,217,Barcelona,41221,117.6,49.2,Saved,For
152,409ccde6-f7a7-4ea2-9272-2f83e8a62aff,15973,217,Barcelona,41221,89.6,33.1,Off T,Against
153,8d0d1659-41e0-4fd6-97b1-7a1fbd29e172,15973,217,Barcelona,41221,108.8,28.5,Goal,For
154,02c870a6-0807-4d0f-b249-6890c7864a75,15973,217,Barcelona,41221,112.6,28.0,Saved,For
155,f39d91a6-f5e8-45bf-abc2-e1bc8fc1851f,15973,217,Barcelona,41221,109.7,57.5,Goal,For
156,543233fd-1f6c-4b40-b43f-f84a2b77fe79,15973,217,Barcelona,41221,110.9,45.6,Off T,For
157,0ac48716-4ecd-4db3-b568-f4daf369665c,15973,217,Barcelona,41221,107.1,35.1,Saved,For
158,25f1ce02-970c-437f-951c-532c35fa4075,15973,217,Barcelona,41221,96.6,33.3,Blocked,For
159,4c3e0f05-cc2d-4136-98d0-c4e3b0a5d277,15973,217,Barcelona,41221,114.4,38.4,Off T,For
160,e54672ec-cf06-456e-ab1b-a387ccd74cd4,15973,217,Barcelona,41221,103.8,35.2,Goal,For
161,e86b5248-c6d1-4891-a366-f6fb74699e60,15973,217,Barcelona,41221,91.3,41.3,Off T,For
162,5c750fc5-4ad6-437b-916e-e07ce8b796dc,15973,217,Barcelona,4231,93.9,53.8,Off T,Against
163,3fc507da-80be-4298-bd57-34926cd19017,15973,217,Barcelona,4231,96.2,47.5,Off T,For
164,d660e004-813d-40d0-9716-72d82a717b62,15973,217,Barcelona,4222,111.7,30.9,Goal,For
165,1ba97b56-a966-4ae8-8a28-2795f8bdcd1d,15973,217,Barcelona,4222,100.0,47.3,Off T,For
166,f35f8a69-123b-45c8-b230-f0e6de87889c,15973,217,Barcelona,4222,112.2,48.6,Off T,For
167,04ae75b2-26c4-4865-9cb0-2efcdcd075d7,15973,217,Barcelona,4222,108.1,40.1,Goal,For
168,39c8ac81-ae9b-4aa1-be08-48f15176a337,15973,902,Huesca,442,113.6,35.2,Blocked,For
169,9ab795df-df68-43af-9cc6-1ff29431ff6d,15973,902,Huesca,442,116.9,37.3,Goal,For
170,78728f2e-3c15-49ba-97a2-c7f300dd6cb8,15973,902,Huesca,442,110.8,51.3,Goal,Against
171,453a50bc-c420-4c36-9832-ccc4566496ec,15973,902,Huesca,442,89.3,48.2,Saved,Against
172,e322758a-db43-4574-ab5f-68b218e1cd93,15973,902,Huesca,442,103.3,58.3,Saved,For
173,26fcafe1-83db-4ab4-a9b4-65e9ce1c12da,15973,902,Huesca,442,111.9,35.5,Saved,Against
174,7eb73963-892b-4837-b864-9518bb04c204,15973,902,Huesca,442,94.7,35.6,Blocked,Against
175,0577b91e-df20-4ffc-ac06-8ebdf2a9d629,15973,902,Huesca,442,96.3,39.6,Blocked,Against
176,ea644b0a-0dfe-45ac-b5ea-48a5b2089419,15973,902,Huesca,442,117.1,51.5,Saved,Against
177,514d5430-182c-4973-bbd7-feb26f3670ee,15973,902,Huesca,442,103.9,51.7,Post,Against
178,78a8e7c3-b4fa-47cd-990e-8164a336fa43,15973,902,Huesca,442,101.9,36.6,Saved,For
179,6e34bf0d-5e25-4219-bb87-b1bd6b910f96,15973,902,Huesca,442,89.1,46.9,Off T,Against
180,c7140cad-46e6-4603-9000-6edb7e5b9281,15973,902,Huesca,442,112.0,54.9,Wayward,Against
181,4b9bf5d3-b243-4914-91a0-ce30beec6d4a,15973,902,Huesca,442,118.5,34.7,Blocked,Against
182,3ef85249-69e5-44cf-9057-0a65c64368a9,15973,902,Huesca,442,116.9,32.5,Saved,Against
183,e6e5178c-3321-4afa-bccd-cda6810f1a38,15973,902,Huesca,442,114.3,35.3,Goal,Against
184,4c670adc-4d4b-4f86-aac6-18fab7812c72,15973,902,Huesca,442,115.9,42.8,Goal,For
185,a5e659f5-d679-48ab-bee3-894263e33931,15973,902,Huesca,442,112.9,28.4,Saved,Against
186,7baff883-a651-4a93-9ef6-d648c828a3dd,15973,902,Huesca,442,94.2,43.4,Off T,Against
187,a382872b-756a-46d1-bd53-706d79b70425,15973,902,Huesca,442,117.6,49.2,Saved,Against
188,409ccde6-f7a7-4ea2-9272-2f83e8a62aff,15973,902,Huesca,442,89.6,33.1,Off T,For
189,8d0d1659-41e0-4fd6-97b1-7a1fbd29e172,15973,902,Huesca,442,108.8,28.5,Goal,Against
190,02c870a6-0807-4d0f-b249-6890c7864a75,15973,902,Huesca,442,112.6,28.0,Saved,Against
191,f39d91a6-f5e8-45bf-abc2-e1bc8fc1851f,15973,902,Huesca,442,109.7,57.5,Goal,Against
192,543233fd-1f6c-4b40-b43f-f84a2b77fe79,15973,902,Huesca,442,110.9,45.6,Off T,Against
