,Match ID,Team ID,Team Name,Formation,Period,Timestamp,Shots_tg,Total_xg,Mean_xg,Goals,Shots_tg_against,Total_xg_against,Mean_xg_against,Goals_against,xg_per_minute,xg_per_minute_against,pass_accuracy,pass_accuracy_against,possession_ratio,possession_ratio_against
948,69235,223,Málaga,4231,1,00:00:00.000,2.0,0.457455307,0.09149106139999999,1.0,4.0,0.7024819599999998,0.05403707384615383,3.0,0.004938077905114873,0.007583059136786426,0.5250836120401338,0.46153846153846156,0.40515769210010305,0.594842307899897
949,69235,217,Barcelona,433,1,00:00:00.000,4.0,0.7024819599999998,0.05403707384615383,3.0,2.0,0.457455307,0.09149106139999999,1.0,0.007583059136786426,0.004938077905114873,0.46153846153846156,0.5250836120401338,0.5912980587589726,0.40870194124102743
950,69217,217,Barcelona,433,1,00:00:00.000,4.0,1.698965698,0.106185356125,3.0,3.0,1.755705107,0.43892627675,2.0,0.021275260317269496,0.02198577830956567,0.13883677298311445,0.23480662983425415,0.6181332992721935,0.3818667007278065
951,69217,217,Barcelona,4141,2,00:34:51.384,0.0,0.0,0.0,0.0,1.0,0.346109804,0.173054902,1.0,0.0,0.024450812166424713,0.4,0.27419354838709675,0.38286113259886334,0.6171388674011367
952,69217,222,Villarreal,41212,1,00:00:00.000,4.0,2.101814911,0.3503024851666667,3.0,4.0,1.698965698,0.106185356125,3.0,0.022356938478434875,0.018071844189689053,0.24056603773584906,0.15706806282722513,0.41515005659753546,0.5848499434024645
953,69328,217,Barcelona,433,1,00:00:00.000,13.0,4.7921791769999995,0.1597393059,5.0,3.0,0.26296074199999997,0.08765358066666666,1.0,0.051899180625752335,0.002847858258731351,0.16591928251121077,0.30900243309002434,0.6784484761232445,0.32155152387675545
954,69328,207,Valencia,4231,1,00:00:00.000,3.0,0.26296074199999997,0.08765358066666666,1.0,13.0,4.7921791769999995,0.1597393059,5.0,0.002847858258731351,0.051899180625752335,0.30900243309002434,0.16591928251121077,0.3154547894571636,0.6845452105428365
955,70259,217,Barcelona,433,1,00:00:00.000,10.0,1.643151411,0.0912861895,5.0,2.0,0.628154488,0.10469241466666666,1.0,0.017819827142999158,0.006812278114070364,0.0847457627118644,0.26993865030674846,0.6686737580320102,0.33132624196798977
956,70259,210,Real Sociedad,433,1,00:00:00.000,2.0,0.628154488,0.10469241466666666,1.0,10.0,1.643151411,0.0912861895,5.0,0.006812278114070364,0.017819827142999158,0.26993865030674846,0.0847457627118644,0.3286296554030243,0.6713703445969756
957,69292,217,Barcelona,433,1,00:00:00.000,6.0,1.431485414,0.17893567675,5.0,4.0,1.4969874,0.11515287692307694,2.0,0.015175379068541326,0.015869774874164456,0.1423841059602649,0.21475054229934923,0.6086618744796609,0.3913381255203391
958,69292,212,Atlético Madrid,41212,1,00:00:00.000,4.0,1.4969874,0.11515287692307694,2.0,6.0,1.431485414,0.17893567675,5.0,0.015869774874164456,0.015175379068541326,0.21475054229934923,0.1423841059602649,0.39118158200124065,0.6088184179987594
